Bot1,Bot2,Bot3,Bot4,Bot5,fBlood,fT,fD,fB,TK,DK,BK,Win
39,104,69,222,412,1,1,0,0,8,3,1,yes
43,30,10,126,145,0,0,1,1,5,2,1,no
236,16,245,10,64,0,1,1,1,6,4,1,yes
59,45,25,39,145,1,0,0,0,2,0,0,no
91,498,497,30,24,1,1,0,1,10,2,1,yes
67,145,42,9,79,0,0,1,0,1,1,0,no
67,13,6,15,432,0,0,0,1,6,0,1,no
30,497,498,84,58,1,1,1,0,10,5,1,yes
412,58,236,421,7,1,1,1,0,3,1,0,yes
81,142,27,203,432,0,0,0,0,0,0,0,no
20,518,81,555,34,0,0,0,0,0,0,0,no
112,10,236,25,64,1,1,1,0,7,1,0,yes
15,203,84,201,26,0,0,0,1,7,2,1,no
145,3,10,127,421,1,1,1,0,5,4,1,yes
28,91,24,51,111,0,0,0,0,1,1,0,no
92,421,8,3,67,1,1,1,0,9,1,0,yes
68,4,236,222,223,0,0,0,0,0,0,0,no
67,64,201,61,81,1,1,1,0,6,1,0,yes
60,236,55,81,161,0,0,0,0,2,0,0,no
145,3,163,59,10,1,1,1,0,7,2,0,yes
81,67,60,518,25,0,1,0,1,10,1,1,yes
59,120,429,9,10,1,0,1,0,2,2,0,no
111,58,59,163,429,1,1,1,0,9,1,0,yes
122,53,145,161,64,0,0,0,0,0,0,0,no
120,10,22,161,3,0,0,0,1,8,2,1,yes
126,555,157,60,67,1,1,1,0,3,1,0,no
